CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
62563,"29,7",15170,8730.0,21780.0,"41,5",3520.0,28200.0,8,16720,12710.0,21780.0,"27,6",9810.0,26860.0,"2,7","71,8","23,7",14,"-12,2","2,7",0,7512.0,1263.0,283.0,0.0,2088.0,862.0,425.0,177.0,0.0,2022
6257062724,"31,1",15690,9330.0,22390.0,"38,4",3540.0,29400.0,"8,3",16990,12850.0,22210.0,"26,4",9990.0,27970.0,"2,8","67,7","28,5","12,6","-12,3","3,49999999999999",0,18515.0,3126.0,693.0,0.0,5161.0,1821.0,1108.0,513.0,0.0,2022
6257062771,"27,7",14690,8240.0,21160.0,"43,2",2320.0,27910.0,12,16180,12270.0,21270.0,"30,2",9540.0,26740.0,"2,8","63,9",30,"14,3","-11,5","3,3",0,19202.0,3878.0,812.0,0.0,5593.0,2063.0,1352.0,534.0,0.0,2022
62617,32,16300,9930.0,22580.0,"35,5",4460.0,29630.0,"6,6",17390,13200.0,22310.0,24,10430.0,28180.0,"2,7","62,7","34,1",11,"-12,9","5,10000000000001",0,10573.0,1460.0,308.0,0.0,2918.0,1153.0,532.0,345.0,0.0,2022
62643,"36,4",17260,11490.0,23050.0,"30,2",6170.0,29290.0,"4,7",18080,14050.0,22570.0,"19,5",11110.0,27550.0,"2,5","66,4","32,9","9,7","-13,3","4,30000000000001",0,12604.0,1209.0,310.0,0.0,3097.0,1320.0,478.0,246.0,0.0,2022
62667,"32,5",15790,9120.0,22080.0,"37,9",3530.0,28790.0,"8,2",17040,12840.0,21920.0,"26,6",10000.0,27210.0,"2,7","61,1","34,6","12,8","-12,6","4,09999999999998",0,8571.0,1327.0,242.0,0.0,2400.0,970.0,507.0,215.0,0.0,2022
62724,"30,4",15430,8910.0,22180.0,"39,8",3820.0,29390.0,"7,7",16840,12760.0,22060.0,"27,3",10110.0,27970.0,"2,8","68,5",27,13,"-12,2","3,7",0,8213.0,1375.0,338.0,0.0,2314.0,765.0,489.0,259.0,0.0,2022
62737,"36,6",17670,11080.0,24460.0,"31,2",5440.0,30970.0,"5,7",18540,13650.0,23960.0,"21,8",10630.0,29120.0,"2,7","72,2","27,7","9,6","-13,3","3,8",0,5413.0,688.0,143.0,0.0,1475.0,568.0,243.0,175.0,0.0,2022
6275362764,"45,8",19030,12220.0,26630.0,"27,1",5830.0,34820.0,6,19660,14540.0,25560.0,"18,1",11120.0,32110.0,"2,9","70,7","30,9","8,1","-15,5","5,80000000000001",0,9891.0,1181.0,308.0,0.0,2591.0,1071.0,417.0,224.0,0.0,2022
62765,"33,9",15170,7220.0,23940.0,"42,4",570.0,35230.0,"62,1",16730,12060.0,23550.0,"30,8",9250.0,32630.0,"3,5","67,4","26,1","13,2","-15,9","9,2",0,14031.0,3207.0,717.0,0.0,4813.0,1676.0,1167.0,427.0,0.0,2022
62895,"33,9",16920,10490.0,23210.0,"33,6",4910.0,29650.0,6,17770,13520.0,22990.0,22,10370.0,28210.0,"2,7","69,7","28,1",11,"-12,5","3,70000000000002",0,8303.0,1094.0,263.0,0.0,2067.0,804.0,369.0,175.0,0.0,2022
62907,"31,9",16080,9460.0,22610.0,"37,3",4000.0,29350.0,"7,3",17280,12850.0,22630.0,"25,7",10120.0,28230.0,"2,8","67,2","29,6","12,4","-12,1","2,89999999999998",0,7494.0,1251.0,251.0,0.0,2013.0,673.0,452.0,202.0,0.0,2022
63113,"47,7",18970,10190.0,28270.0,"32,2",3740.0,40340.0,"10,8",19460,13430.0,27010.0,"23,3",9630.0,36930.0,"3,8","72,2","28,3","8,3",-18,"9,2",0,127265.0,19074.0,4784.0,0.0,49636.0,14245.0,6090.0,3309.0,0.0,2022
63124,"56,6",22820,16370.0,29940.0,"15,7",9610.0,39010.0,"4,1",22690,17500.0,28560.0,"10,3",12940.0,36050.0,"2,8","66,7","36,9","4,7","-17,3",9,0,18534.0,1241.0,322.0,0.0,3802.0,1478.0,459.0,263.0,0.0,2022
63430,"36,7",17280,10390.0,24450.0,"33,1",4610.0,32940.0,"7,1",18310,13430.0,24310.0,"23,1",9850.0,31330.0,"3,2","59,7","36,5","9,2","-14,3","8,89999999999999",0,11056.0,1421.0,357.0,0.0,3016.0,1073.0,629.0,333.0,0.0,2022
64102,"47,7",19820,12680.0,28090.0,"25,8",5960.0,39450.0,"6,6",20040,14880.0,26670.0,"16,7",11160.0,35850.0,"3,2","69,9",31,"7,4","-17,8","9,49999999999999",0,48990.0,4422.0,2331.0,0.0,14861.0,5406.0,1759.0,1861.0,0.0,2022
64445,"46,4",19520,11100.0,29620.0,"29,7",3840.0,43560.0,"11,3",19930,14090.0,27910.0,"20,5",10220.0,39180.0,"3,8","65,2",35,"8,1","-18,1","9,80000000000001",0,69046.0,10066.0,2915.0,0.0,25533.0,7728.0,3876.0,2838.0,0.0,2022
65286,"36,2",17610,11620.0,23830.0,"29,5",5570.0,32160.0,"5,8",18250,14010.0,23330.0,20,10550.0,30180.0,"2,9","59,9",37,"8,6","-14,5",9,0,14366.0,1224.0,766.0,0.0,3889.0,1198.0,620.0,760.0,0.0,2022
6541765440,"39,5",17430,9630.0,25430.0,"35,1",2660.0,35320.0,"13,3",18320,13080.0,24720.0,"24,7",9880.0,32630.0,"3,3","60,4","37,3","10,3","-15,6","7,60000000000001",0,43940.0,7213.0,2440.0,0.0,16491.0,5151.0,2603.0,2158.0,0.0,2022
